node_index,prediction_score,predicted_class,true_label,error_type
399,0.9909975,1,1,TP
401,0.94059086,1,1,TP
402,0.7548355,1,1,TP
407,0.36198473,1,0,FP
408,0.5465367,1,1,TP
409,0.54706115,1,1,TP
410,0.5153939,1,1,TP
411,0.46198827,1,1,TP
412,0.008729148,0,0,TN
414,0.55692303,1,0,FP
415,0.9882742,1,1,TP
418,0.10543066,1,0,FP
419,0.2576992,1,0,FP
423,0.919028,1,1,TP
426,0.28162456,1,0,FP
427,0.061676014,1,0,FP
428,0.6840709,1,1,TP
429,0.8712756,1,1,TP
430,0.8372625,1,1,TP
