,reaction,lower_bound,upper_bound,is_reversible,name,flux
EX_galt_e,EX_galt_e,0.0,999999.0,False,Galactitol exchange,0.0
EX_galur_e,EX_galur_e,0.0,999999.0,False,D-Galacturonate exchange,0.0
EX_gam6p_e,EX_gam6p_e,0.0,999999.0,False,D-Glucosamine 6-phosphate exchange,0.0
EX_gam_e,EX_gam_e,0.0,999999.0,False,D-Glucosamine exchange,0.0
EX_gbbtn_e,EX_gbbtn_e,0.0,999999.0,False,Gamma-butyrobetaine exchange,0.0
EX_glc__D_e,EX_glc__D_e,-10.0,0.0,False,D-Glucose exchange,-8.184395161690285
EX_glcn__D_e,EX_glcn__D_e,0.0,999999.0,False,D Gluconate exchange,0.0
EX_glcr_e,EX_glcr_e,0.0,999999.0,False,D-Glucarate exchange,0.0
EX_glcur_e,EX_glcur_e,0.0,999999.0,False,D-Glucuronate exchange,0.0
EX_gln__L_e,EX_gln__L_e,0.0,999999.0,False,L-Glutamine exchange,0.0
EX_glu__D_e,EX_glu__D_e,0.0,999999.0,False,D Glutamate exchange,0.0
EX_alaala_e,EX_alaala_e,0.0,999999.0,False,D-Alanyl-D-alanine exchange,0.0
EX_alltn_e,EX_alltn_e,0.0,999999.0,False,Allantoin exchange,0.0
EX_amp_e,EX_amp_e,0.0,999999.0,False,AMP exchange,0.0
EX_amylase_e,EX_amylase_e,0.0,999999.0,False,Mature Bacillus subtilis amylase exchange,0.0
EX_fum_e,EX_fum_e,0.0,999999.0,False,Fumarate exchange,0.0
EX_antim_e,EX_antim_e,0.0,999999.0,False,Antimonite exchange,0.0
EX_g1p_e,EX_g1p_e,0.0,999999.0,False,D-Glucose 1-phosphate exchange,0.0
EX_glu__L_e,EX_glu__L_e,0.0,999999.0,False,L-Glutamate exchange,0.0
EX_arab__D_e,EX_arab__D_e,0.0,999999.0,False,D Arabinose exchange,0.0
EX_arab__L_e,EX_arab__L_e,0.0,999999.0,False,L-Arabinose exchange,0.0
EX_arbt_e,EX_arbt_e,0.0,999999.0,False,Arbutin exchange,0.0
EX_arg__L_e,EX_arg__L_e,0.0,999999.0,False,L-Arginine exchange,0.0
EX_argp_e,EX_argp_e,0.0,999999.0,False,L Arginine phosphate exchange,0.0
EX_arsenb_e,EX_arsenb_e,0.0,999999.0,False,ARSENOBETAINE exchange,0.0
EX_arsna_e,EX_arsna_e,0.0,999999.0,False,Arsenate exchange,0.0
EX_arsni2_e,EX_arsni2_e,0.0,999999.0,False,Arsenite exchange,0.0
EX_asn__L_e,EX_asn__L_e,0.0,999999.0,False,L-Asparagine exchange,0.0
EX_asp__L_e,EX_asp__L_e,0.0,999999.0,False,L-Aspartate exchange,0.0
EX_bilea_e,EX_bilea_e,0.0,999999.0,False,Bile acid exchange,0.0
EX_btd_RR_e,EX_btd_RR_e,0.0,999999.0,False, R R  2 3 Butanediol exchange,0.8715654542673384
EX_glx_e,EX_glx_e,0.0,999999.0,False,Glyoxylate exchange,0.0
EX_buts_e,EX_buts_e,0.0,999999.0,False,Butanesulfonate exchange,0.0
EX_ca2_e,EX_ca2_e,-999999.0,999999.0,True,Calcium exchange,-0.0020005123308958926
EX_cbl2_e,EX_cbl2_e,0.0,999999.0,False,Cob II alamin exchange,0.0
EX_pur_e,EX_pur_e,0.0,999999.0,False,Puromycin exchange,0.0
EX_pyr_e,EX_pyr_e,0.0,999999.0,False,Pyruvate exchange,0.0
EX_cd2_e,EX_cd2_e,0.0,999999.0,False,Cadmium exchange,0.0
EX_gly_asn__L_e,EX_gly_asn__L_e,0.0,999999.0,False,Gly asn L exchange,0.0
EX_cellb_e,EX_cellb_e,0.0,999999.0,False,Cellobiose exchange,0.0
EX_cgly_e,EX_cgly_e,0.0,999999.0,False,Cys-Gly exchange,0.0
EX_raffin_e,EX_raffin_e,0.0,999999.0,False,Raffinose exchange,0.0
EX_rib__D_e,EX_rib__D_e,0.0,999999.0,False,D-Ribose exchange,0.0
EX_gly_asp__L_e,EX_gly_asp__L_e,0.0,999999.0,False,Gly asp L exchange,0.0
EX_ribflv_e,EX_ribflv_e,0.0,999999.0,False,Riboflavin exchange,0.0
EX_chitob_e,EX_chitob_e,0.0,999999.0,False,Chitobiose exchange,0.0
EX_gly_e,EX_gly_e,0.0,999999.0,False,Glycine exchange,0.0
EX_chol_e,EX_chol_e,0.0,999999.0,False,Choline exchange,0.0
EX_rmn_e,EX_rmn_e,0.0,999999.0,False,L-Rhamnose exchange,0.0
EX_gly_gln__L_e,EX_gly_gln__L_e,0.0,999999.0,False,Gly Gln exchange,0.0
EX_chols_e,EX_chols_e,0.0,999999.0,False,EX chols LPAREN e RPAREN ,0.0
EX_chor_e,EX_chor_e,0.0,999999.0,False,Chorismate exchange,0.0
EX_cit_e,EX_cit_e,0.0,999999.0,False,Citrate exchange,0.0
EX_salcn_e,EX_salcn_e,0.0,999999.0,False,Salicin exchange,0.0
EX_gly_glu__L_e,EX_gly_glu__L_e,0.0,999999.0,False,Gly glu L exchange,0.0
EX_sbt__D_e,EX_sbt__D_e,0.0,999999.0,False,D-Sorbitol exchange,0.0
EX_ser__D_e,EX_ser__D_e,0.0,999999.0,False,D-Serine exchange,0.0
EX_citr__L_e,EX_citr__L_e,0.0,999999.0,False,L-Citrulline exchange,0.0
EX_cmp_e,EX_cmp_e,0.0,999999.0,False,CMP exchange,0.0
EX_ser__L_e,EX_ser__L_e,0.0,999999.0,False,L-Serine exchange,0.0
EX_gly_met__L_e,EX_gly_met__L_e,0.0,999999.0,False,Gly Met exchange,0.0
EX_so4_e,EX_so4_e,-5.0,999999.0,True,Sulfate exchange,-0.10630866088888112
EX_spmd_e,EX_spmd_e,0.0,999999.0,False,Spermidine exchange,0.0
EX_co2_e,EX_co2_e,-999999.0,999999.0,True,CO2 exchange,22.76113297595939
EX_cobalt2_e,EX_cobalt2_e,0.0,999999.0,False,Co2+ exchange,0.0
EX_crn_e,EX_crn_e,0.0,999999.0,False,L-Carnitine exchange,0.0
EX_cro4_e,EX_cro4_e,0.0,999999.0,False,Chromate exchange,0.0
EX_srb__L_e,EX_srb__L_e,0.0,999999.0,False,L Sorbose exchange,0.0
EX_starch_e,EX_starch_e,0.0,999999.0,False,Starch exchange,0.0
EX_subtilisin_e,EX_subtilisin_e,0.0,999999.0,False,Mature Bacillus subtilis subtilisin exchange,0.0
EX_succ_e,EX_succ_e,0.0,999999.0,False,Succinate exchange,0.0
EX_sucr_e,EX_sucr_e,0.0,999999.0,False,Sucrose exchange,0.0
EX_gly_pro__L_e,EX_gly_pro__L_e,0.0,999999.0,False,Gly pro L exchange,0.0
EX_sula_e,EX_sula_e,0.0,999999.0,False,Sulfoacetate exchange,0.0
EX_taur_e,EX_taur_e,0.0,999999.0,False,Taurine exchange,0.0
EX_glyb_e,EX_glyb_e,0.0,999999.0,False,Glycine betaine exchange,0.0
EX_thiog_e,EX_thiog_e,0.0,999999.0,False,Thioglycolate exchange,0.0
EX_glyc3p_e,EX_glyc3p_e,0.0,999999.0,False,Glycerol 3-phosphate exchange,0.0
EX_glyc_e,EX_glyc_e,0.0,999999.0,False,Glycerol exchange,0.0
EX_glyclt_e,EX_glyclt_e,0.0,999999.0,False,Glycolate exchange,0.00022907582696996847
EX_glycogen_e,EX_glycogen_e,0.0,999999.0,False,Glycogen exchange,0.0
EX_gmp_e,EX_gmp_e,0.0,999999.0,False,GMP exchange,0.0
EX_gsn_e,EX_gsn_e,0.0,999999.0,False,Guanosine exchange,0.0
EX_thr__L_e,EX_thr__L_e,0.0,999999.0,False,L-Threonine exchange,0.0
EX_gthox_e,EX_gthox_e,0.0,999999.0,False,Oxidized glutathione exchange,0.0
EX_thym_e,EX_thym_e,0.0,999999.0,False,Thymine exchange,0.0
EX_gthrd_e,EX_gthrd_e,0.0,999999.0,False,Reduced glutathione exchange,0.0
EX_thymd_e,EX_thymd_e,0.0,999999.0,False,Thymidine exchange,0.0
EX_gua_e,EX_gua_e,0.0,999999.0,False,Guanine exchange,0.0
EX_tmp_e,EX_tmp_e,0.0,999999.0,False,Trimetaphosphate exchange,0.0
EX_tre_e,EX_tre_e,0.0,999999.0,False,Trehalose exchange,0.0
EX_trp__L_e,EX_trp__L_e,0.0,999999.0,False,L-Tryptophan exchange,0.0
EX_h2o2_e,EX_h2o2_e,0.0,999999.0,False,Hydrogen peroxide exchange,0.0
EX_tyr__L_e,EX_tyr__L_e,0.0,999999.0,False,L-Tyrosine exchange,0.0
EX_h2o_e,EX_h2o_e,-999999.0,999999.0,True,H2O exchange,31.885422310338026
EX_ump_e,EX_ump_e,0.0,999999.0,False,UMP exchange,0.0
EX_ura_e,EX_ura_e,0.0,999999.0,False,Uracil exchange,0.0
3UMPt6,3UMPt6,-999999.0,999999.0,True,3  UMP transport in via proton symport,0.0
EX_h_e,EX_h_e,-999999.0,999999.0,True,H+ exchange,4.32869921882028
5MTRt2,5MTRt2,-999999.0,999999.0,True,5 Methylthio D ribose transport inout via proton symport,0.0
6PGCt6,6PGCt6,-999999.0,999999.0,True,6 Phospho D gluconate transport inout via proton symport,0.0
EX_urate_e,EX_urate_e,0.0,999999.0,False,Urate exchange,0.0
2HXMPt6,2HXMPt6,-999999.0,999999.0,True,2  hydroxymethyl phenol transport inout via proton symport,0.0
EX_hexs_e,EX_hexs_e,0.0,999999.0,False,Hexanesulfonate exchange,0.0
2PGLYCt6,2PGLYCt6,-999999.0,999999.0,True,2 Phosphoglycolate transport inout via proton symport,0.0
2PGt6,2PGt6,-999999.0,999999.0,True,D Glycerate 2 phosphate transport inout via proton symport,0.0
3AMPt6,3AMPt6,-999999.0,999999.0,True,3  AMP transport inout via proton symport,0.0
3CMPt6,3CMPt6,-999999.0,999999.0,True,3  CMP transport in via proton symport,0.0
EX_urea_e,EX_urea_e,0.0,999999.0,False,Urea exchange,0.0
EX_uri_e,EX_uri_e,0.0,999999.0,False,Uridine exchange,0.0
EX_val__L_e,EX_val__L_e,0.0,999999.0,False,L-Valine exchange,0.0
EX_xan_e,EX_xan_e,0.0,999999.0,False,Xanthine exchange,0.0
EX_xtsn_e,EX_xtsn_e,0.0,999999.0,False,Xanthosine exchange,0.0
EX_xyl__D_e,EX_xyl__D_e,0.0,999999.0,False,D-Xylose exchange,0.0
EX_zn2_e,EX_zn2_e,0.0,999999.0,False,Zinc exchange,0.0
3GMPt6,3GMPt6,-999999.0,999999.0,True,Guanosine 3  phsophate transport inout via proton symport,0.0
3PGt6,3PGt6,-999999.0,999999.0,True,3 Phospho D glycerate transport inout via proton symport,0.0
ABTt_1,ABTt_1,-999999.0,999999.0,True,L arabinitol transport via passive diffusion,0.0
F6Pt6_2,F6Pt6_2,0.0,999999.0,False,Fructose 6 phosphate transport via phosphate antiport,0.0
EX_hg2_e,EX_hg2_e,0.0,999999.0,False,Hg2+ exchange,0.0
EX_his__L_e,EX_his__L_e,0.0,999999.0,False,L-Histidine exchange,0.0
EX_hqn_e,EX_hqn_e,0.0,999999.0,False,Hydroquinone exchange,0.0
EX_hxan_e,EX_hxan_e,0.0,999999.0,False,Hypoxanthine exchange,0.0
PHEt2r,PHEt2r,-999999.0,999999.0,True,L phenylalanine reversible transport via proton symport,0.0
ACACt2,ACACt2,-999999.0,999999.0,True,Acetoacetate transport via proton symport,0.0
EX_icit_e,EX_icit_e,0.0,999999.0,False,Isocitrate exchange,0.0
2S6HCCi,2S6HCCi,0.0,999999.0,False,2 succinyl 6 hydroxy 2 4 cyclohexadiene 1 carboxylate synthase,0.0001660331606921709
26DPAi,26DPAi,0.0,999999.0,False,Dipicolinate synthase,0.0
3AMBAt2,3AMBAt2,0.0,999999.0,False,3 aminobutyrate transport in via proton symport,0.0
FDH,FDH,0.0,999999.0,False,Formate dehydrogenase,0.004936053514131596
FDMO_1,FDMO_1,0.0,999999.0,False,FmnRD dependent monooxygenase  methanesulfonate ,0.0
EX_ile__L_e,EX_ile__L_e,0.0,999999.0,False,L-Isoleucine exchange,0.0
AAMYL_1,AAMYL_1,0.0,999999.0,False,Alpha amylase,0.0
EX_inost_e,EX_inost_e,0.0,999999.0,False,Myo-Inositol exchange,0.0
EX_ins_e,EX_ins_e,0.0,999999.0,False,Inosine exchange,0.0
EX_istnt_e,EX_istnt_e,0.0,999999.0,False,Isethionate exchange,0.0
ABTA,ABTA,-999999.0,999999.0,True,4-aminobutyrate transaminase,0.0
EX_k_e,EX_k_e,-999999.0,999999.0,True,K+ exchange,-0.44086922479243057
EX_lac__L_e,EX_lac__L_e,0.0,999999.0,False,L-Lactate exchange,0.0
EX_lanth_e,EX_lanth_e,0.0,999999.0,False,Lanthionine exchange,0.0
FBA,FBA,-999999.0,999999.0,True,Fructose-bisphosphate aldolase,7.568894214260961
EX_lcts_e,EX_lcts_e,0.0,999999.0,False,Lactose exchange,0.0
FBA2,FBA2,-999999.0,999999.0,True,D Fructose 1 phosphate D glyceraldehyde 3 phosphate lyase,0.0
FBP,FBP,0.0,999999.0,False,Fructose-bisphosphatase,0.0
FCLT_2,FCLT_2,0.0,999999.0,False,Heme B synthesis reaction,0.0
FDMO1,FDMO1,0.0,999999.0,False,FMN dependent monooxygenase  ethanesulfonate ,0.0
FDMO2_1,FDMO2_1,0.0,999999.0,False,FMN dependent monooxygenase  butanesulfonate ,0.0
FDMO3_1,FDMO3_1,0.0,999999.0,False,FMN dependent monooxygenase  hexanesulfonate ,0.0
AB6PGH,AB6PGH,0.0,999999.0,False,Arbutin 6-phosphate glucohydrolase,0.0
ABUTD,ABUTD,0.0,999999.0,False,Aminobutyraldehyde dehydrogenase,0.0
MACCOAT,MACCOAT,-999999.0,999999.0,True,2-Methylacetyl-CoA thiolase,0.0
ACACT2r,ACACT2r,-999999.0,999999.0,True,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),0.01746219437414774
ACACT3r,ACACT3r,-999999.0,999999.0,True,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),0.01746219437414774
ACACT4r,ACACT4r,-999999.0,999999.0,True,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),0.01746219437414774
ACACT5r_1,ACACT5r_1,-999999.0,999999.0,True,Acetyl CoA C acyltransferase  decanoyl CoA ,0.01746219437414774
ACACT6r_1,ACACT6r_1,-999999.0,999999.0,True,Acetyl CoA C acyltransferase  dodecanoyl CoA ,0.01746219437414774
ACACT7r,ACACT7r,-999999.0,999999.0,True,Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),0.013432457210882877
FDMO4_1,FDMO4_1,0.0,999999.0,False,FMN dependent monooxygenase  taurine ,0.0
FDMO5_1,FDMO5_1,0.0,999999.0,False,FMN dependent monooxygenase  sulfoacetate ,0.0
FDMO6_1,FDMO6_1,0.0,999999.0,False,FMN dependent monooxygenase  isethionate ,0.0
ACACT1r,ACACT1r,-999999.0,999999.0,True,Acetyl-CoA C-acetyltransferase,0.01746219437414774
ACCOAC,ACCOAC,0.0,999999.0,False,Acetyl-CoA carboxylase,0.6353552260747599
EX_leu__L_e,EX_leu__L_e,0.0,999999.0,False,L-Leucine exchange,0.0
ACGApts,ACGApts,0.0,999999.0,False,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,0.0
ACGK,ACGK,0.0,999999.0,False,Acetylglutamate kinase,0.12048077710510331
FE2abc,FE2abc,0.0,999999.0,False,Iron (II) transport via ABC system,0.0
EX_lipt_e,EX_lipt_e,0.0,999999.0,False,Lipoate exchange,0.0
ACGS,ACGS,0.0,999999.0,False,N-acetylglutamate synthase,0.0
EX_lys__L_e,EX_lys__L_e,0.0,999999.0,False,L-Lysine exchange,0.0
FOLD3,FOLD3,0.0,999999.0,False,Dihydropteroate synthase,0.00022907582696996844
ACMANAt2,ACMANAt2,0.0,999999.0,False,N acetyl D mannosamine proton symport,0.0
ACNAMt2,ACNAMt2,0.0,999999.0,False,N-acetylneuraminate proton symport,0.0
EX_madg_e,EX_madg_e,0.0,999999.0,False,Alpha Methyl D glucoside exchange,0.0
ACNPLYS,ACNPLYS,-999999.0,999999.0,True,N-Acetylneuraminate pyruvate-lyase,0.0
EX_mal__D_e,EX_mal__D_e,0.0,999999.0,False,D-Malate exchange,0.0
ALLTNt2r,ALLTNt2r,0.0,999999.0,False,Allantoin transport in via proton symport,0.0
EX_mal__L_e,EX_mal__L_e,0.0,999999.0,False,L-Malate exchange,0.0
ACt2r,ACt2r,-999999.0,999999.0,True,Acetate reversible transport via proton symport,-0.2665955761775178
ADEt2,ADEt2,0.0,999999.0,False,Adenine transport in via proton symport,0.0
ACKr,ACKr,-999999.0,999999.0,True,Acetate kinase,0.0
ACLDC,ACLDC,0.0,999999.0,False,Acetolactate decarboxylase,0.8822589885116155
ALLTAHr,ALLTAHr,-999999.0,999999.0,True,Allantoate amidinohydrolase  reversible,0.0
EX_malt_e,EX_malt_e,0.0,999999.0,False,Maltose exchange,0.0
AMPt6,AMPt6,-999999.0,999999.0,True,AMP transport inout via proton symport,0.0
ACODA_1,ACODA_1,0.0,999999.0,False,Acetylornithine deacetylase,0.0
ACOAD20,ACOAD20,0.0,999999.0,False,Acyl CoA dehydrogenase  2 methylbutnoyl CoA ,0.0
EX_malttr_e,EX_malttr_e,0.0,999999.0,False,Maltotriose exchange,0.0
EX_man1p_e,EX_man1p_e,0.0,999999.0,False,D Mannose 1 phosphate exchange,0.0
ACONT,ACONT,-999999.0,999999.0,True,Aconitate hydratase,6.800826355155073
ACOAD2,ACOAD2,-999999.0,999999.0,True,Acyl-CoA dehydrogenase (hexanoyl-CoA),0.01746219437414774
EX_man6p_e,EX_man6p_e,0.0,999999.0,False,D-Mannose 6-phosphate exchange,0.0
ACOAD1,ACOAD1,-999999.0,999999.0,True,Acyl-CoA dehydrogenase (butanoyl-CoA),0.017462194374147737
ACOADH2,ACOADH2,0.0,999999.0,False,Acyl CoA dehydrogenase  isobutyryl CoA ,0.0
ARABDI,ARABDI,-999999.0,999999.0,True,L-fucose isomerase,0.0
ARAB_Dt,ARAB_Dt,-999999.0,999999.0,True,D arabinose reversible transport,0.0
ACOTA,ACOTA,-999999.0,999999.0,True,Acetylornithine transaminase,-0.12048077710510331
ARGKr,ARGKr,-999999.0,999999.0,True,ATPL arginine N phosphotransferase,0.0
EX_man_e,EX_man_e,0.0,999999.0,False,D-Mannose exchange,0.0
ARGPt6,ARGPt6,-999999.0,999999.0,True,L arginine phosphate transport inout via proton symport,0.0
ACPS1,ACPS1,0.0,999999.0,False,Acyl-carrier protein synthase,2.5062748383019974e-16
EX_3ump_e,EX_3ump_e,0.0,999999.0,False,3'-UMP exchange,0.0
EX_mbdg_e,EX_mbdg_e,0.0,999999.0,False,Beta Methylglucoside exchange,0.0
APATi,APATi,0.0,999999.0,False,Tetrahydrodipicolinate acetyltransferase,0.26659557617751783
EX_melib_e,EX_melib_e,0.0,999999.0,False,Melibiose exchange,0.0
EX_meoh_e,EX_meoh_e,0.0,999999.0,False,Methanol exchange,0.0
EX_met__D_e,EX_met__D_e,0.0,999999.0,False,D-Methionine exchange,0.0
APRAUR,APRAUR,0.0,999999.0,False,5-amino-6-(5-phosphoribosylamino)uracil reductase,0.0
APSR,APSR,0.0,999999.0,False,Adenosine 5'-phosphosulfate reductase;,0.10630866088888137
ACPpds,ACPpds,0.0,999999.0,False,[acyl-carrier-protein] phosphodiesterase,2.506274838301998e-16
ACS,ACS,0.0,999999.0,False,Acetyl-CoA synthetase,0.0
EX_met_L_ala__L_e,EX_met_L_ala__L_e,0.0,999999.0,False,Met L ala L exchange,0.0
ALKP,ALKP,-999999.0,999999.0,True,Alkaline phosphatase,0.0
APTA1i,APTA1i,0.0,999999.0,False,Acetyl L L diaminopimelate aminotransferase,0.2665955761775178
EX_met__L_e,EX_met__L_e,0.0,999999.0,False,L-Methionine exchange,0.0
ALCD19_L,ALCD19_L,-999999.0,999999.0,True,Alcohol dehydrogenase  L glyceraldehyde to glycerol  NADP ,0.0
ACS2,ACS2,0.0,999999.0,False,Acetyl-CoA synthase (propionate),0.0
ACTD2,ACTD2,0.0,999999.0,False,Acetoin dehydrogenase,0.010693534244277174
ACTNabc,ACTNabc,0.0,999999.0,False,Acetoin transport via ABC system,0.0
ACTNabc1,ACTNabc1,0.0,999999.0,False,Acetoin efflux  via ABC system,0.0
ALCD2y,ALCD2y,-999999.0,999999.0,True,"Alcohol dehydrogenase (ethanol, NADP)",0.0
ADADir,ADADir,0.0,999999.0,False,Deoxycytidine kinase,0.0
EX_metox__R_e,EX_metox__R_e,0.0,999999.0,False,L methionine R oxide exchange,0.0
ADNK1,ADNK1,0.0,999999.0,False,Adenosine kinase,0.0
ADCL,ADCL,0.0,999999.0,False,4-aminobenzoate synthase,0.00022907582696996847
ADD,ADD,0.0,999999.0,False,Adenine deaminase,0.0
ALLTN,ALLTN,0.0,999999.0,False,Allantoinase,0.0
ALTRH,ALTRH,0.0,999999.0,False,Altronate hydrolase,0.0
EX_metox_e,EX_metox_e,0.0,999999.0,False,L Methionine S oxide exchange,0.0
ARABRr,ARABRr,-999999.0,999999.0,True,Arabinose reductase,0.0
ARAI,ARAI,-999999.0,999999.0,True,L-arabinose isomerase,0.0
ARBTpts,ARBTpts,0.0,999999.0,False,Arbutin transport via PEPPyr PTS,0.0
ADCS,ADCS,0.0,999999.0,False,4-amino-4-deoxychorismate synthase,0.00022907582696996847
ADK1,ADK1,-999999.0,999999.0,True,Adenylate kinase,0.9780008558821955
EX_mg2_e,EX_mg2_e,-999999.0,999999.0,True,Mg exchange,-0.06348833423548982
AMAA,AMAA,0.0,999999.0,False,N-acetylmuramoyl-L-alanine amidase,0.0
ADK2,ADK2,-999999.0,999999.0,True,Adenylate kinase (Inorganic triphosphate),0.0
AMAOTr,AMAOTr,-999999.0,999999.0,True,Adenosylmethionine-8-amino-7-oxononanoate transaminase,0.0
EX_mn2_e,EX_mn2_e,0.0,999999.0,False,Mn2+ exchange,0.0
AMMQT7,AMMQT7,0.0,999999.0,False,S adenosylmethione2 demthylmenaquinone methyltransferase  menaquinone 7 ,0.00016603316069217086
ANPRT,ANPRT,0.0,999999.0,False,Anthranilate phosphoribosyltransferase,0.033915706087849995
ADMDC,ADMDC,-999999.0,999999.0,True,Adenosylmethionine decarboxylase,0.0
EX_mnl_e,EX_mnl_e,0.0,999999.0,False,D-Mannitol exchange,0.0
ADNt2,ADNt2,-999999.0,999999.0,True,Adenosine transport in via proton symport,0.0
ADPDA,ADPDA,-999999.0,999999.0,True,N6 acetyl LL 2 6 diaminoheptanedioate amidohydrolase,0.26659557617751783
ADPRDP,ADPRDP,0.0,999999.0,False,ADPribose diphosphatase,0.0
ANS,ANS,0.0,999999.0,False,Anthranilate synthase,0.033915706087849995
ANTIMt1,ANTIMt1,0.0,999999.0,False,Antimonite  transporter via uniport,0.0
EX_mobd_e,EX_mobd_e,0.0,999999.0,False,Molybdate exchange,0.0
