reaction,lower_bound,upper_bound,is_reversible,name,flux,essentiality
EX_thym_e,0.0,1000.0,False,Thymine exchange,0.0,-1
EX_xtsn_e,0.0,1000.0,False,Xanthosine exchange,0.0,-1
NTPP1,0.0,1000.0,False,Nucleoside triphosphate pyrophosphorylase (dgtp),0.0,0
URIK1,0.0,1000.0,False,Uridine kinase  ATPUridine ,0.0,0
URIK2,0.0,1000.0,False,Uridine kinase (GTP:Uridine),0.0,0
NTPP2,0.0,1000.0,False,Nucleoside triphosphate pyrophosphorylase (gtp),0.0,0
PGL,0.0,1000.0,False,6-phosphogluconolactonase,2.8059115683534106,0
NTPTP1,0.0,1000.0,False,Nucleoside triphosphate tripolyhydrolase,0.0,0
NTPTP2,0.0,1000.0,False,Nucleoside triphosphate tripolyhydrolase,0.0,0
CYTDK1,0.0,1000.0,False,ATP:cytidine 5'-phosphotransferase,0.0,0
RPE,-1000.0,1000.0,True,Ribulose 5-phosphate 3-epimerase,1.233174940297962,0
DHQTi,0.0,1000.0,False,"3-dehydroquinate dehydratase, irreversible",0.3132028066658272,1
IPMD,0.0,1000.0,False,3-isopropylmalate dehydrogenase,0.3702454448347276,1
AIRC3,-1000.0,1000.0,True,Phosphoribosylaminoimidazole carboxylase (mutase rxn),-0.36799618389031197,1
TALA,-1000.0,1000.0,True,Transaldolase,0.7730056125426962,0
PUNP1,-1000.0,1000.0,True,Purine-nucleoside phosphorylase (Adenosine),-0.0005530700093086323,0
PUNP2,-1000.0,1000.0,True,Purine-nucleoside phosphorylase (Deoxyadenosine),0.0,0
PUNP3,-1000.0,1000.0,True,Purine-nucleoside phosphorylase (Guanosine),0.0,0
ADSL2r,-1000.0,1000.0,True,Adenylosuccinate lyase,0.36799618389031197,1
TKT1,-1000.0,1000.0,True,Transketolase,0.7730056125426962,0
EX_fe2_e,-1000.0,1000.0,True,Fe2+ exchange,-0.006782298346220364,-1
PUNP5,-1000.0,1000.0,True,Purine-nucleoside phosphorylase (Inosine),0.0,0
PUNP6,-1000.0,1000.0,True,Purine-nucleoside phosphorylase (Deoxyinosine),0.0,0
PUNP7,-1000.0,1000.0,True,Purine-nucleoside phosphorylase (Xanthosine),0.0,0
G6PDA,0.0,1000.0,False,Glucosamine-6-phosphate deaminase,0.0,0
RNDR1,0.0,1000.0,False,Ribonucleoside-diphosphate reductase (ADP),0.0,1
ALCD2x,-1000.0,1000.0,True,Alcohol dehydrogenase (ethanol),0.0,0
RNDR3,0.0,1000.0,False,Ribonucleoside-diphosphate reductase (CDP),0.0,1
RNDR4,0.0,1000.0,False,Ribonucleoside-diphosphate reductase (UDP),0.0,1
ALDD2y,0.0,1000.0,False,"Aldehyde dehydrogenase (acetaldehyde, NADP)",0.0,0
TMDS,0.0,1000.0,False,Thymidylate synthase,0.02150316473127372,0
RMI,-1000.0,1000.0,True,L-rhamnose isomerase,0.0,0
TMDK1,0.0,1000.0,False,Thymidine kinase (ATP:thymidine),0.0,0
LYSAM,-1000.0,1000.0,True,"Lysine 2,3-aminomutase",0.0,0
PPCDC,0.0,1000.0,False,Phosphopantothenoylcysteine decarboxylase,0.0005538918072646112,1
FTHFD,0.0,1000.0,False,Formyltetrahydrofolate deformylase,0.0,0
EX_glc__D_e,-10.0,0.0,False,D-Glucose exchange,-10.0,-1
DHAD1,0.0,1000.0,False,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",0.7185529938312932,1
IPPMIa,-1000.0,1000.0,True,3-isopropylmalate dehydratase,-0.37024544483472765,1
EX_alltn_e,0.0,1000.0,False,Allantoin exchange,0.0,-1
G3PD7,0.0,1000.0,False,Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8),0.0,0
EDD,0.0,1000.0,False,6-phosphogluconate dehydratase,0.0,0
EX_ura_e,0.0,1000.0,False,Uracil exchange,0.0,-1
NADH9,0.0,1000.0,False,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),0.0,0
EX_val__L_e,0.0,1000.0,False,L-Valine exchange,0.0,-1
NADH10,0.0,1000.0,False,NADH dehydrogenase (menaquinone-8 & 0 protons),0.0,0
ADK4,-1000.0,1000.0,True,Adentylate kinase (ITP),0.0,1
INSK,0.0,1000.0,False,Insosine kinase,0.0,0
MDH,-1000.0,1000.0,True,Malate dehydrogenase,5.253673982196249,0
ABTA,0.0,1000.0,False,4-aminobutyrate transaminase,0.0,0
EX_xan_e,0.0,1000.0,False,Xanthine exchange,0.0,-1
FUM,-1000.0,1000.0,True,Fumarase,5.253673982196249,0
FMNAT,0.0,1000.0,False,FMN adenylyltransferase,0.00018326093919874311,1
PYDXNK,0.0,1000.0,False,Pyridoxine kinase,0.0,0
PYAM5PO,0.0,1000.0,False,Pyridoxamine 5'-phosphate oxidase,0.0,1
SSALx,0.0,1000.0,False,Succinate-semialdehyde dehydrogenase (NAD),0.0,0
ASPT,0.0,1000.0,False,L-aspartase,0.0,0
OHPBAT,-1000.0,1000.0,True,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,-0.00036652187839413593,1
SERD_L,0.0,1000.0,False,L-serine deaminase,0.0,0
EX_dgsn_e,0.0,1000.0,False,Deoxyguanosine exchange,0.0,-1
NADDP,0.0,1000.0,False,NAD diphosphatase,0.0,1
EX_arab__L_e,0.0,1000.0,False,L-Arabinose exchange,0.0,-1
EX_fru_e,0.0,1000.0,False,D-Fructose exchange,0.0,-1
THRD,0.0,1000.0,False,L-threonine dehydrogenase,0.0,0
HEX4,0.0,1000.0,False,Hexokinase (D-mannose:ATP),0.0,-1
EX_gal_e,0.0,1000.0,False,D-Galactose exchange,0.0,-1
NMNAT,0.0,1000.0,False,Nicotinamide-nucleotide adenylyltransferase,0.0,1
EX_xyl__D_e,0.0,1000.0,False,D-Xylose exchange,0.0,-1
KARA1,-1000.0,1000.0,True,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",-0.7185529938312933,1
HMPK1,0.0,1000.0,False,Hydroxymethylpyrimidine kinase (ATP),0.0,0
KARA2,-1000.0,1000.0,True,Ketol-acid reductoisomerase (2-Acetolactate),0.23875613185860367,1
EX_duri_e,0.0,1000.0,False,Deoxyuridine exchange,0.0,-1
EX_for_e,0.0,1000.0,False,Formate exchange,0.0,-1
EX_gly_e,0.0,1000.0,False,Glycine exchange,0.0,-1
EX_h2_e,0.0,1000.0,False,H2 exchange,0.0,-1
EX_lys__L_e,0.0,1000.0,False,L-Lysine exchange,0.0,-1
ACCOAC,0.0,1000.0,False,Acetyl-CoA carboxylase,0.06396053317415863,1
NADK,0.0,1000.0,False,NAD kinase,0.00036734367632821745,1
GLXCL,0.0,1000.0,False,Glyoxalate carboligase,0.0,0
ICHORS_copy2,-1000.0,1000.0,True,Isochorismate synthase,0.0,0
SUCBZS,0.0,1000.0,False,O-succinylbenzoate-CoA synthase,0.0,0
DHBD,-1000.0,1000.0,True,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",0.0,0
ICHORT,0.0,1000.0,False,Isochorismatase,0.0,0
EX_ser__L_e,0.0,1000.0,False,L-Serine exchange,0.0,-1
EX_thm_e,0.0,1000.0,False,Thiamin exchange,0.0,-1
EX_trp__L_e,0.0,1000.0,False,L-Tryptophan exchange,0.0,-1
GLUTRR,0.0,1000.0,False,Glutamyl-tRNA reductase,0.0029321750271797233,1
GLCS1,0.0,1000.0,False,Glycogen synthase (ADPGlc),0.0,0
GLCP,0.0,1000.0,False,Glycogen phosphorylase,0.0,0
EX_din_e,0.0,1000.0,False,Deoxyinosine exchange,0.0,-1
RBK_L1,0.0,1000.0,False,L-ribulokinase (L-ribulose),0.0,0
RBP4E,-1000.0,1000.0,True,L-ribulose-phosphate 4-epimerase,0.0,0
TARTD,0.0,1000.0,False,L(+)-tartrate dehydratase,0.0,0
NTD2,0.0,1000.0,False,5'-nucleotidase (UMP),0.0,0
GLCRAL,0.0,1000.0,False,5-dehydro-4-deoxyglucarate aldolase,0.0,0
NTD4,0.0,1000.0,False,5'-nucleotidase (CMP),0.0,0
NTD5,0.0,1000.0,False,5'-nucleotidase (dTMP),0.0,0
EX_fmn_e,0.0,1000.0,False,FMN exchange,0.0,-1
EX_gthox_e,0.0,1000.0,False,Oxidized glutathione exchange,0.0,-1
KAS14,0.0,1000.0,False,Beta-ketoacyl-ACP synthase,0.0,1
HEMEOS,0.0,1000.0,False,Heme O synthase,0.0,0
ADMDC,0.0,1000.0,False,Adenosylmethionine decarboxylase,0.0,0
AGMT,0.0,1000.0,False,Agmatinase,0.0,0
NTD6,0.0,1000.0,False,5'-nucleotidase (dAMP),0.0,0
LGTHL,0.0,1000.0,False,Lactoylglutathione lyase,0.0,0
PYDXPP,0.0,1000.0,False,Pyridoxal 5-phosphate phosphatase,0.0,0
PDXPP,0.0,1000.0,False,Pyridoxine 5-phosphate phosphatase,0.0,0
ARGDC,0.0,1000.0,False,Arginine decarboxylase,0.0,0
HACD6,-1000.0,1000.0,True,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),0.2285058462324791,0
ECOAH1,-1000.0,1000.0,True,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),0.29246144861903595,0
ECOAH2,-1000.0,1000.0,True,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),0.292461448619036,0
ARGSS,0.0,1000.0,False,Argininosuccinate synthase,0.24308125438328054,1
AGPR,-1000.0,1000.0,True,N-acetyl-g-glutamyl-phosphate reductase,-0.24308125438328046,1
SPMS,0.0,1000.0,False,Spermidine synthase,0.0,0
G1SAT,-1000.0,1000.0,True,Glutamate-1-semialdehyde aminotransferase,0.0029321750271797237,1
KDOCT2,0.0,1000.0,False,3-deoxy-manno-octulosonate cytidylyltransferase,0.03197780119327842,1
ECOAH3,-1000.0,1000.0,True,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA),0.292461448619036,0
UGLT,-1000.0,1000.0,True,UDPglucose--hexose-1-phosphate uridylyltransferase,0.0,0
EDTXS1,0.0,1000.0,False,Endotoxin Synthesis (lauroyl transferase),0.0,0
DXPS,0.0,1000.0,False,1-deoxy-D-xylulose 5-phosphate synthase,0.0023297971417725882,1
OAADC,0.0,1000.0,False,Oxaloacetate decarboxylase,0.0,0
MNNH,0.0,1000.0,False,D-mannonate hydrolyase,0.0,0
CDPMEK,0.0,1000.0,False,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,0.0019632752633751225,1
EDTXS2,0.0,1000.0,False,Endotoxin Synthesis (myristoyl transferase),0.0,0
ALTRH,0.0,1000.0,False,Altronate hydrolase,0.0,0
MECDPS,0.0,1000.0,False,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",0.001963275263375122,1
GUI1,-1000.0,1000.0,True,Glucuronate isomerase (D-glucuronate),0.0,0
EDTXS3,0.0,1000.0,False,Endotoxin Synthesis (palmitoleoyl ACP),0.0,0
PGAMT,-1000.0,1000.0,True,Phosphoglucosamine mutase,-0.0776500431525106,1
DDGLK,0.0,1000.0,False,2-dehydro-3-deoxygluconokinase,0.0,0
EDTXS4,0.0,1000.0,False,Endotoxin Synthesis (myristoyl transferase),0.0,0
XYLI2,-1000.0,1000.0,True,Xylose isomerase,0.0,0
PMANM,-1000.0,1000.0,True,Phosphomannomutase,0.0,0
ICL,0.0,1000.0,False,Isocitrate lyase,0.0,0
UAGDP,0.0,1000.0,False,UDP-N-acetylglucosamine diphosphorylase,0.0776500431525106,1
UAGCVT,0.0,1000.0,False,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,0.022836120979616088,1
GLUR,-1000.0,1000.0,True,Glutamate racemase,-0.022836120979616088,1
EX_tmao_e,0.0,1000.0,False,Trimethylamine N-oxide exchange,0.0,-1
UAG2E,-1000.0,1000.0,True,UDP-N-acetylglucosamine 2-epimerase,0.0,0
EX_acald_e,0.0,1000.0,False,Acetaldehyde exchange,0.0,-1
GLYCL,0.0,1000.0,False,Glycine Cleavage System,0.04454843328495037,1
CMPN,0.0,1000.0,False,CMP nucleosidase,0.0,-1
NNDPR,0.0,1000.0,False,Nicotinate-nucleotide diphosphorylase (carboxylating),0.001872055692802758,1
HCYSMT,0.0,1000.0,False,Homocysteine S-methyltransferase,0.0,0
EX_melib_e,0.0,1000.0,False,Melibiose exchange,0.0,-1
MACPD,0.0,1000.0,False,Malonyl-ACP decarboxylase,0.0,1
DMQMT,0.0,1000.0,False,3-Dimethylubiquinonol 3-methyltransferase,-7.356125369822202e-15,1
UDPG4E,-1000.0,1000.0,True,UDPglucose 4-epimerase,0.0,0
LACZ,0.0,1000.0,False,B-galactosidase,0.0,0
TRE6PH,0.0,1000.0,False,Trehalose-6-phosphate hydrolase,0.0,0
XYLI1,-1000.0,1000.0,True,Xylose isomerase,0.0,0
PPC,0.0,1000.0,False,Phosphoenolpyruvate carboxylase,2.4327051444739425,1
ICHORS_copy1,0.0,1000.0,False,Isochorismate synthase,0.0,0
EX_sucr_e,0.0,1000.0,False,Sucrose exchange,0.0,-1
ALDD4,0.0,1000.0,False,"Aldehyde dehydrogenase (butanal, NAD)",0.0,-1
HACD4,-1000.0,1000.0,True,3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA),0.292461448619036,0
G3PT,0.0,1000.0,False,Glycerol-3-phosphatase,0.0,0
CINNDO,0.0,1000.0,False,Cinnamate dioxygenase,0.0,0
DHPPD,0.0,1000.0,False,"2,3-dihydroxyphenylpropionate dehydrogenase",0.0,0
EX_tre_e,0.0,1000.0,False,Trehalose exchange,0.0,-1
EX_zn2_e,-1000.0,1000.0,True,Zinc exchange,-0.00028023309536667204,-1
HACD5,-1000.0,1000.0,True,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),0.292461448619036,0
DHCIND,0.0,1000.0,False,"2,3-dihydroxycinnamate dehydrogenase",0.0,0
HACD7,-1000.0,1000.0,True,3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA),0.2285058462324791,0
CITL,0.0,1000.0,False,Citrate lyase,0.0,0
GOFUCR,0.0,1000.0,False,GDP-4-oxo-L-fucose reductase,0.0,0
PYDXK,0.0,1000.0,False,Pyridoxal kinase,0.0,0
DNMPPA,0.0,1000.0,False,Dihydroneopterin monophosphate dephosphorylase,0.0005497828175928686,-1
HPPK2,0.0,1000.0,False,6-hydroxymethyl-dihydropterin pyrophosphokinase,0.0005497828175928687,1
PTPATi,0.0,1000.0,False,Pantetheine-phosphate adenylyltransferase,0.0005538918072646113,1
HEX7,0.0,1000.0,False,Hexokinase (D-fructose:ATP),0.0,0
DXPRIi,0.0,1000.0,False,1-deoxy-D-xylulose reductoisomerase,0.0019632752633751225,1
GTPCII2,0.0,1000.0,False,GTP cyclohydrolase II (25drapp),0.0003665218783974758,1
URIC,0.0,1000.0,False,Uricase,0.0,-1
SADT2,0.0,1000.0,False,Sulfate adenyltransferase,0.2033801962097796,1
OPHBDC,0.0,1000.0,False,Octaprenyl-hydroxybenzoate decarboxylase,0.00018326093919137666,1
AACPS1,0.0,1000.0,False,Acyl-[acyl-carrier-protein] synthetase (n-C14:0),0.0,1
OHPHM,0.0,1000.0,False,2-octaprenyl-6-hydroxyphenol methylase,-7.356125369822203e-15,1
GHMT2r,-1000.0,1000.0,True,"Glycine hydroxymethyltransferase, reversible",0.9167423033931896,1
DHORD2,0.0,1000.0,False,Dihydoorotic acid dehydrogenase (quinone8),0.0,1
LCARS,-1000.0,1000.0,True,"Lacaldehyde reductase (S-propane-1,2-diol forming)",0.0,0
ALCD19,-1000.0,1000.0,True,Alcohol dehydrogenase (glycerol),-6.795919800740247e-17,0
RMPA,-1000.0,1000.0,True,Rhamnulose-1-phosphate aldolase,0.0,0
SBTPD,-1000.0,1000.0,True,Sorbitol-6-phosphate dehydrogenase,0.0,0
PFK_2,0.0,1000.0,False,Phosphofructokinase,0.0,1
GLTPD,-1000.0,1000.0,True,Galactitol-1-phosphate dehydrogenase,0.0,0
