reaction_id,name,lower_bound,upper_bound,is_reversible,reaction_string
NDP7,Nucleoside diphosphatase  UDP ,0.0,1000.0,False,h2o_c + udp_c --> h_c + pi_c + ump_c
FBP,Fructose-bisphosphatase,0.0,1000.0,False,fdp_c + h2o_c --> f6p_c + pi_c
EX_pi_e,Phosphate exchange,-1000.0,1000.0,True,pi_e <=> 
GLGC,Glucose-1-phosphate adenylyltransferase,0.0,1000.0,False,atp_c + g1p_c + h_c --> adpglc_c + ppi_c
ALATA_D2,D-alanine transaminase,0.0,1000.0,False,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c
PYK,Pyruvate kinase,0.0,1000.0,False,adp_c + h_c + pep_c --> atp_c + pyr_c
SHCHD2,Sirohydrochlorin dehydrogenase (NAD),0.0,1000.0,False,dscl_c + nad_c --> h_c + nadh_c + scl_c
EX_co2_e,CO2 exchange,-1000.0,1000.0,True,co2_e <=> 
A5PISO,Arabinose-5-phosphate isomerase,-1000.0,1000.0,True,ru5p__D_c <=> ara5p_c
PMDPHT,Pyrimidine phosphatase,0.0,1000.0,False,5aprbu_c + h2o_c --> 4r5au_c + pi_c
CPPPGO,Coproporphyrinogen oxidase (O2 required),0.0,1000.0,False,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c
EX_met__L_e,L-Methionine exchange,0.0,1000.0,False,met__L_e --> 
GTHOr,Glutathione oxidoreductase,-1000.0,1000.0,True,gthox_c + h_c + nadph_c <=> 2.0 gthrd_c + nadp_c
ILETA,Isoleucine transaminase,-1000.0,1000.0,True,akg_c + ile__L_c <=> 3mop_c + glu__L_c
DHORD5,Dihydroorotic acid (menaquinone-8),0.0,1000.0,False,dhor__S_c + mqn8_c --> mql8_c + orot_c
EX_metsox_S__L_e,L-Methionine S-oxide exchange,0.0,1000.0,False,metsox_S__L_e --> 
GLYCTO2,Glycolate oxidase,0.0,1000.0,False,glyclt_c + q8_c --> glx_c + q8h2_c
VALTA,Valine transaminase,-1000.0,1000.0,True,akg_c + val__L_c <=> 3mob_c + glu__L_c
GLYCTO3,Glycolate oxidase,0.0,1000.0,False,glyclt_c + mqn8_c --> glx_c + mql8_c
IPPMIb,2-isopropylmalate hydratase,-1000.0,1000.0,True,2ippm_c + h2o_c <=> 3c3hmp_c
GLYCTO4,Glycolate oxidase,0.0,1000.0,False,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c
ORPT,Orotate phosphoribosyltransferase,-1000.0,1000.0,True,orot5p_c + ppi_c <=> orot_c + prpp_c
RBFSa,Riboflavin synthase,0.0,1000.0,False,4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
ACHBS,2-aceto-2-hydroxybutanoate synthase,0.0,1000.0,False,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
PFK_3,Phosphofructokinase (s7p),0.0,1000.0,False,atp_c + s7p_c --> adp_c + h_c + s17bp_c
DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",0.0,1000.0,False,23dhmp_c --> 3mop_c + h2o_c
ACLS,Acetolactate synthase,0.0,1000.0,False,h_c + 2.0 pyr_c --> alac__S_c + co2_c
TRPS2,Tryptophan synthase (indole),0.0,1000.0,False,indole_c + ser__L_c --> h2o_c + trp__L_c
PSCVT,3-phosphoshikimate 1-carboxyvinyltransferase,-1000.0,1000.0,True,pep_c + skm5p_c <=> 3psme_c + pi_c
G3PD5,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),0.0,1000.0,False,glyc3p_c + q8_c --> dhap_c + q8h2_c
G1PP,Glucose-1-phosphatase,0.0,1000.0,False,g1p_c + h2o_c --> glc__D_c + pi_c
PFL,Pyruvate formate lyase,0.0,1000.0,False,coa_c + pyr_c --> accoa_c + for_c
EX_acgam_e,N-Acetyl-D-glucosamine exchange,0.0,1000.0,False,acgam_e --> 
ANS,Anthranilate synthase,0.0,1000.0,False,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
FRD2,Fumarate reductase,0.0,1000.0,False,fum_c + mql8_c --> mqn8_c + succ_c
FRD3,Fumarate reductase,0.0,1000.0,False,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c
ANPRT,Anthranilate phosphoribosyltransferase,0.0,1000.0,False,anth_c + prpp_c --> ppi_c + pran_c
POX,Pyruvate oxidase,0.0,1000.0,False,h2o_c + pyr_c + q8_c --> ac_c + co2_c + q8h2_c
CHORM,Chorismate mutase,0.0,1000.0,False,chor_c --> pphn_c
PTAr,Phosphotransacetylase,-1000.0,1000.0,True,accoa_c + pi_c <=> actp_c + coa_c
CHORS,Chorismate synthase,0.0,1000.0,False,3psme_c --> chor_c + pi_c
IGPS,Indole-3-glycerol-phosphate synthase,0.0,1000.0,False,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
ACKr,Acetate kinase,-1000.0,1000.0,True,ac_c + atp_c <=> actp_c + adp_c
EX_cellb_e,Cellobiose exchange,0.0,1000.0,False,cellb_e --> 
EX_crn_e,L-Carnitine exchange,0.0,1000.0,False,crn_e --> 
EX_hxan_e,Hypoxanthine exchange,0.0,1000.0,False,hxan_e --> 
EX_ile__L_e,L-Isoleucine exchange,0.0,1000.0,False,ile__L_e --> 
EX_chol_e,Choline exchange,0.0,1000.0,False,chol_e --> 
EX_fe3_e,Fe3+ exchange,-1000.0,1000.0,True,fe3_e <=> 
LEUTAi,Leucine transaminase (irreversible),0.0,1000.0,False,4mop_c + glu__L_c --> akg_c + leu__L_c
EX_lac__L_e,L-Lactate exchange,0.0,1000.0,False,lac__L_e --> 
EX_leu__L_e,L-Leucine exchange,0.0,1000.0,False,leu__L_e --> 
EX_glcn_e,D-Gluconate exchange,0.0,1000.0,False,glcn_e --> 
EX_no3_e,Nitrate exchange,0.0,1000.0,False,no3_e --> 
EX_h_e,H+ exchange,-1000.0,1000.0,True,h_e <=> 
DMATT,Dimethylallyltranstransferase,0.0,1000.0,False,dmpp_c + ipdp_c --> grdp_c + ppi_c
EX_orn_e,Ornithine exchange,0.0,1000.0,False,orn_e --> 
GRTT,Geranyltranstransferase,0.0,1000.0,False,grdp_c + ipdp_c --> frdp_c + ppi_c
EX_gln__L_e,L-Glutamine exchange,0.0,1000.0,False,gln__L_e --> 
UPP3S,Uroporphyrinogen-III synthase,0.0,1000.0,False,hmbil_c --> h2o_c + uppg3_c
EX_pro__L_e,L-Proline exchange,0.0,1000.0,False,pro__L_e --> 
EX_glyc_e,Glycerol exchange,0.0,1000.0,False,glyc_e --> 
UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III),0.0,1000.0,False,4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c
EX_man_e,D-Mannose exchange,0.0,1000.0,False,man_e --> 
TMDPP,Thymidine phosphorylase,-1000.0,1000.0,True,pi_c + thymd_c <=> 2dr1p_c + thym_c
EX_ade_e,Adenine exchange,0.0,1000.0,False,ade_e --> 
EX_mn2_e,Mn2+ exchange,-1000.0,1000.0,True,mn2_e <=> 
EX_4abut_e,4-Aminobutanoate exchange,0.0,1000.0,False,4abut_e --> 
EX_ac_e,Acetate exchange,0.0,1000.0,False,ac_e --> 
EX_akg_e,2-Oxoglutarate exchange,0.0,1000.0,False,akg_e --> 
EX_ala__L_e,L-Alanine exchange,0.0,1000.0,False,ala__L_e --> 
EX_arg__L_e,L-Arginine exchange,0.0,1000.0,False,arg__L_e --> 
EX_asp__L_e,L-Aspartate exchange,0.0,1000.0,False,asp__L_e --> 
EX_pyr_e,Pyruvate exchange,0.0,1000.0,False,pyr_e --> 
EX_succ_e,Succinate exchange,0.0,1000.0,False,succ_e --> 
EX_thymd_e,Thymidine exchange,0.0,1000.0,False,thymd_e --> 
EX_rib__D_e,D-Ribose exchange,0.0,1000.0,False,rib__D_e --> 
EX_tyr__L_e,L-Tyrosine exchange,0.0,1000.0,False,tyr__L_e --> 
EX_cytd_e,Cytidine exchange,0.0,1000.0,False,cytd_e --> 
EX_dcyt_e,Deoxycytidine exchange,0.0,1000.0,False,dcyt_e --> 
MOAT,3-deoxy-D-manno-octulosonic acid transferase,0.0,1000.0,False,ckdo_c + lipidA_c --> cmp_c + h_c + kdolipid4_c
EX_fum_e,Fumarate exchange,0.0,1000.0,False,fum_e --> 
EX_sbt__D_e,D-Sorbitol exchange,0.0,1000.0,False,sbt__D_e --> 
EX_glu__L_e,L-Glutamate exchange,0.0,1000.0,False,glu__L_e --> 
UDCPDPS,Undecaprenyl diphosphate synthase,0.0,1000.0,False,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c
ECOAH6,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),-1000.0,1000.0,True,3htdcoa_c <=> h2o_c + td2coa_c
USHD,UDP-sugar hydrolase,0.0,1000.0,False,h2o_c + u23ga_c --> 2.0 h_c + lipidX_c + ump_c
EX_gua_e,Guanine exchange,0.0,1000.0,False,gua_e --> 
ENO,Enolase,-1000.0,1000.0,True,2pg_c <=> h2o_c + pep_c
FBA,Fructose-bisphosphate aldolase,-1000.0,1000.0,True,fdp_c <=> dhap_c + g3p_c
HCO3E,HCO3 equilibration reaction,-1000.0,1000.0,True,co2_c + h2o_c <=> h_c + hco3_c
MGSA,Methylglyoxal synthase,0.0,1000.0,False,dhap_c --> mthgxl_c + pi_c
IMPC,IMP cyclohydrolase,-1000.0,1000.0,True,h2o_c + imp_c <=> fprica_c
IMPD,IMP dehydrogenase,0.0,1000.0,False,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c
PPS,Phosphoenolpyruvate synthase,0.0,1000.0,False,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c
ECOAH4,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),-1000.0,1000.0,True,3hdcoa_c <=> dc2coa_c + h2o_c
LPADSS,Lipid A disaccaride synthase,0.0,1000.0,False,lipidX_c + u23ga_c --> h_c + lipidAds_c + udp_c
GLUTRS,Glutamyl-tRNA synthetase,0.0,1000.0,False,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c
TDSK,Tetraacyldisaccharide 4'kinase,0.0,1000.0,False,atp_c + lipidAds_c --> adp_c + h_c + lipidA_c
PGI,Glucose-6-phosphate isomerase,-1000.0,1000.0,True,g6p_c <=> f6p_c
TMPPP,Thiamine-phosphate diphosphorylase,0.0,1000.0,False,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c
EX_btn_e,Biotin exchange,0.0,1000.0,False,btn_e --> 
PGK,Phosphoglycerate kinase,-1000.0,1000.0,True,3pg_c + atp_c <=> 13dpg_c + adp_c
EX_ptrc_e,Putrescine exchange,0.0,1000.0,False,ptrc_e --> 
EDA,2-dehydro-3-deoxy-phosphogluconate aldolase,0.0,1000.0,False,2ddg6p_c --> g3p_c + pyr_c
EX_spmd_e,Spermidine exchange,0.0,1000.0,False,spmd_e --> 
EX_thym_e,Thymine exchange,0.0,1000.0,False,thym_e --> 
EX_xtsn_e,Xanthosine exchange,0.0,1000.0,False,xtsn_e --> 
NTPP1,Nucleoside triphosphate pyrophosphorylase (dgtp),0.0,1000.0,False,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c
URIK1,Uridine kinase  ATPUridine ,0.0,1000.0,False,atp_c + uri_c --> adp_c + h_c + ump_c
URIK2,Uridine kinase (GTP:Uridine),0.0,1000.0,False,gtp_c + uri_c --> gdp_c + h_c + ump_c
NTPP2,Nucleoside triphosphate pyrophosphorylase (gtp),0.0,1000.0,False,gtp_c + h2o_c --> gmp_c + h_c + ppi_c
PGL,6-phosphogluconolactonase,0.0,1000.0,False,6pgl_c + h2o_c --> 6pgc_c + h_c
NTPTP1,Nucleoside triphosphate tripolyhydrolase,0.0,1000.0,False,dgtp_c + h2o_c --> dgsn_c + pppi_c
NTPTP2,Nucleoside triphosphate tripolyhydrolase,0.0,1000.0,False,gtp_c + h2o_c --> gsn_c + pppi_c
CYTDK1,ATP:cytidine 5'-phosphotransferase,0.0,1000.0,False,atp_c + cytd_c --> adp_c + cmp_c + h_c
RPE,Ribulose 5-phosphate 3-epimerase,-1000.0,1000.0,True,ru5p__D_c <=> xu5p__D_c
DHQTi,"3-dehydroquinate dehydratase, irreversible",0.0,1000.0,False,3dhq_c --> 3dhsk_c + h2o_c
IPMD,3-isopropylmalate dehydrogenase,0.0,1000.0,False,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c
AIRC3,Phosphoribosylaminoimidazole carboxylase (mutase rxn),-1000.0,1000.0,True,5aizc_c <=> 5caiz_c
TALA,Transaldolase,-1000.0,1000.0,True,g3p_c + s7p_c <=> e4p_c + f6p_c
PUNP1,Purine-nucleoside phosphorylase (Adenosine),-1000.0,1000.0,True,adn_c + pi_c <=> ade_c + r1p_c
PUNP2,Purine-nucleoside phosphorylase (Deoxyadenosine),-1000.0,1000.0,True,dad_2_c + pi_c <=> 2dr1p_c + ade_c
PUNP3,Purine-nucleoside phosphorylase (Guanosine),-1000.0,1000.0,True,gsn_c + pi_c <=> gua_c + r1p_c
ADSL2r,Adenylosuccinate lyase,-1000.0,1000.0,True,25aics_c <=> aicar_c + fum_c
TKT1,Transketolase,-1000.0,1000.0,True,r5p_c + xu5p__D_c <=> g3p_c + s7p_c
EX_fe2_e,Fe2+ exchange,-1000.0,1000.0,True,fe2_e <=> 
PUNP5,Purine-nucleoside phosphorylase (Inosine),-1000.0,1000.0,True,ins_c + pi_c <=> hxan_c + r1p_c
PUNP6,Purine-nucleoside phosphorylase (Deoxyinosine),-1000.0,1000.0,True,din_c + pi_c <=> 2dr1p_c + hxan_c
PUNP7,Purine-nucleoside phosphorylase (Xanthosine),-1000.0,1000.0,True,pi_c + xtsn_c <=> r1p_c + xan_c
G6PDA,Glucosamine-6-phosphate deaminase,0.0,1000.0,False,gam6p_c + h2o_c --> f6p_c + nh4_c
RNDR1,Ribonucleoside-diphosphate reductase (ADP),0.0,1000.0,False,adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c
ALCD2x,Alcohol dehydrogenase (ethanol),-1000.0,1000.0,True,etoh_c + nad_c <=> acald_c + h_c + nadh_c
RNDR3,Ribonucleoside-diphosphate reductase (CDP),0.0,1000.0,False,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c
RNDR4,Ribonucleoside-diphosphate reductase (UDP),0.0,1000.0,False,trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",0.0,1000.0,False,acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c
TMDS,Thymidylate synthase,0.0,1000.0,False,dump_c + mlthf_c --> dhf_c + dtmp_c
RMI,L-rhamnose isomerase,-1000.0,1000.0,True,rmn_c <=> rml_c
TMDK1,Thymidine kinase (ATP:thymidine),0.0,1000.0,False,atp_c + thymd_c --> adp_c + dtmp_c + h_c
LYSAM,"Lysine 2,3-aminomutase",-1000.0,1000.0,True,lys__L_c <=> 36dahx_c
PPCDC,Phosphopantothenoylcysteine decarboxylase,0.0,1000.0,False,4ppcys_c + h_c --> co2_c + pan4p_c
FTHFD,Formyltetrahydrofolate deformylase,0.0,1000.0,False,10fthf_c + h2o_c --> for_c + h_c + thf_c
EX_glc__D_e,D-Glucose exchange,-10.0,0.0,False,glc__D_e <-- 
DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",0.0,1000.0,False,23dhmb_c --> 3mob_c + h2o_c
IPPMIa,3-isopropylmalate dehydratase,-1000.0,1000.0,True,3c2hmp_c <=> 2ippm_c + h2o_c
EX_alltn_e,Allantoin exchange,0.0,1000.0,False,alltn_e --> 
G3PD7,Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8),0.0,1000.0,False,2dmmq8_c + glyc3p_c --> 2dmmql8_c + dhap_c
EDD,6-phosphogluconate dehydratase,0.0,1000.0,False,6pgc_c --> 2ddg6p_c + h2o_c
EX_ura_e,Uracil exchange,0.0,1000.0,False,ura_e --> 
NADH9,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),0.0,1000.0,False,2dmmq8_c + h_c + nadh_c --> 2dmmql8_c + nad_c
EX_val__L_e,L-Valine exchange,0.0,1000.0,False,val__L_e --> 
NADH10,NADH dehydrogenase (menaquinone-8 & 0 protons),0.0,1000.0,False,h_c + mqn8_c + nadh_c --> mql8_c + nad_c
ADK4,Adentylate kinase (ITP),-1000.0,1000.0,True,amp_c + itp_c <=> adp_c + idp_c
INSK,Insosine kinase,0.0,1000.0,False,atp_c + ins_c --> adp_c + h_c + imp_c
MDH,Malate dehydrogenase,-1000.0,1000.0,True,mal__L_c + nad_c <=> h_c + nadh_c + oaa_c
ABTA,4-aminobutyrate transaminase,0.0,1000.0,False,4abut_c + akg_c --> glu__L_c + sucsal_c
EX_xan_e,Xanthine exchange,0.0,1000.0,False,xan_e --> 
FUM,Fumarase,-1000.0,1000.0,True,fum_c + h2o_c <=> mal__L_c
FMNAT,FMN adenylyltransferase,0.0,1000.0,False,atp_c + fmn_c + h_c --> fad_c + ppi_c
PYDXNK,Pyridoxine kinase,0.0,1000.0,False,atp_c + pydxn_c --> adp_c + h_c + pdx5p_c
PYAM5PO,Pyridoxamine 5'-phosphate oxidase,0.0,1000.0,False,h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c
SSALx,Succinate-semialdehyde dehydrogenase (NAD),0.0,1000.0,False,h2o_c + nad_c + sucsal_c --> 2.0 h_c + nadh_c + succ_c
ASPT,L-aspartase,0.0,1000.0,False,asp__L_c --> fum_c + nh4_c
OHPBAT,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,-1000.0,1000.0,True,glu__L_c + ohpb_c <=> akg_c + phthr_c
SERD_L,L-serine deaminase,0.0,1000.0,False,ser__L_c --> nh4_c + pyr_c
EX_dgsn_e,Deoxyguanosine exchange,0.0,1000.0,False,dgsn_e --> 
NADDP,NAD diphosphatase,0.0,1000.0,False,h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c
EX_arab__L_e,L-Arabinose exchange,0.0,1000.0,False,arab__L_e --> 
EX_fru_e,D-Fructose exchange,0.0,1000.0,False,fru_e --> 
THRD,L-threonine dehydrogenase,0.0,1000.0,False,nad_c + thr__L_c --> 2aobut_c + h_c + nadh_c
HEX4,Hexokinase (D-mannose:ATP),0.0,1000.0,False,atp_c + man_c --> adp_c + h_c + man6p_c
EX_gal_e,D-Galactose exchange,0.0,1000.0,False,gal_e --> 
NMNAT,Nicotinamide-nucleotide adenylyltransferase,0.0,1000.0,False,atp_c + h_c + nmn_c --> nad_c + ppi_c
EX_xyl__D_e,D-Xylose exchange,0.0,1000.0,False,xyl__D_e --> 
KARA1,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",-1000.0,1000.0,True,23dhmb_c + nadp_c <=> alac__S_c + h_c + nadph_c
HMPK1,Hydroxymethylpyrimidine kinase (ATP),0.0,1000.0,False,4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c
KARA2,Ketol-acid reductoisomerase (2-Acetolactate),-1000.0,1000.0,True,2ahbut_c + h_c + nadph_c <=> 23dhmp_c + nadp_c
EX_duri_e,Deoxyuridine exchange,0.0,1000.0,False,duri_e --> 
EX_for_e,Formate exchange,0.0,1000.0,False,for_e --> 
EX_gly_e,Glycine exchange,0.0,1000.0,False,gly_e --> 
EX_h2_e,H2 exchange,0.0,1000.0,False,h2_e --> 
EX_lys__L_e,L-Lysine exchange,0.0,1000.0,False,lys__L_e --> 
ACCOAC,Acetyl-CoA carboxylase,0.0,1000.0,False,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c
NADK,NAD kinase,0.0,1000.0,False,atp_c + nad_c --> adp_c + h_c + nadp_c
GLXCL,Glyoxalate carboligase,0.0,1000.0,False,2.0 glx_c + h_c --> 2h3oppan_c + co2_c
ICHORS_copy2,Isochorismate synthase,-1000.0,1000.0,True,chor_c <=> ichor_c
SUCBZS,O-succinylbenzoate-CoA synthase,0.0,1000.0,False,2shchc_c --> h2o_c + sucbz_c
DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",-1000.0,1000.0,True,23ddhb_c + nad_c <=> 23dhb_c + h_c + nadh_c
ICHORT,Isochorismatase,0.0,1000.0,False,h2o_c + ichor_c --> 23ddhb_c + pyr_c
EX_ser__L_e,L-Serine exchange,0.0,1000.0,False,ser__L_e --> 
EX_thm_e,Thiamin exchange,0.0,1000.0,False,thm_e --> 
EX_trp__L_e,L-Tryptophan exchange,0.0,1000.0,False,trp__L_e --> 
GLUTRR,Glutamyl-tRNA reductase,0.0,1000.0,False,glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c
GLCS1,Glycogen synthase (ADPGlc),0.0,1000.0,False,adpglc_c --> adp_c + glycogen_c + h_c
GLCP,Glycogen phosphorylase,0.0,1000.0,False,glycogen_c + pi_c --> g1p_c
EX_din_e,Deoxyinosine exchange,0.0,1000.0,False,din_e --> 
RBK_L1,L-ribulokinase (L-ribulose),0.0,1000.0,False,atp_c + rbl__L_c --> adp_c + h_c + ru5p__L_c
RBP4E,L-ribulose-phosphate 4-epimerase,-1000.0,1000.0,True,ru5p__L_c <=> xu5p__D_c
TARTD,L(+)-tartrate dehydratase,0.0,1000.0,False,tartr__L_c --> h2o_c + oaa_c
NTD2,5'-nucleotidase (UMP),0.0,1000.0,False,h2o_c + ump_c --> pi_c + uri_c
GLCRAL,5-dehydro-4-deoxyglucarate aldolase,0.0,1000.0,False,5dh4dglc_c --> 2h3oppan_c + pyr_c
NTD4,5'-nucleotidase (CMP),0.0,1000.0,False,cmp_c + h2o_c --> cytd_c + pi_c
NTD5,5'-nucleotidase (dTMP),0.0,1000.0,False,dtmp_c + h2o_c --> pi_c + thymd_c
EX_fmn_e,FMN exchange,0.0,1000.0,False,fmn_e --> 
EX_gthox_e,Oxidized glutathione exchange,0.0,1000.0,False,gthox_e --> 
KAS14,Beta-ketoacyl-ACP synthase,0.0,1000.0,False,acACP_c + h_c + malACP_c --> ACP_c + actACP_c + co2_c
HEMEOS,Heme O synthase,0.0,1000.0,False,frdp_c + h2o_c + pheme_c --> hemeO_c + ppi_c
ADMDC,Adenosylmethionine decarboxylase,0.0,1000.0,False,amet_c + h_c --> ametam_c + co2_c
AGMT,Agmatinase,0.0,1000.0,False,agm_c + h2o_c --> ptrc_c + urea_c
NTD6,5'-nucleotidase (dAMP),0.0,1000.0,False,damp_c + h2o_c --> dad_2_c + pi_c
LGTHL,Lactoylglutathione lyase,0.0,1000.0,False,gthrd_c + mthgxl_c --> lgt__S_c
PYDXPP,Pyridoxal 5-phosphate phosphatase,0.0,1000.0,False,h2o_c + pydx5p_c --> pi_c + pydx_c
PDXPP,Pyridoxine 5-phosphate phosphatase,0.0,1000.0,False,h2o_c + pdx5p_c --> pi_c + pydxn_c
ARGDC,Arginine decarboxylase,0.0,1000.0,False,arg__L_c + h_c --> agm_c + co2_c
